dataname,hidden
Config_Shipping_FEDEX_PickupType,Y
Config_Shipping_FEDEX_ShipperNumber,Y
Config_Shipping_FEDEX_Username,Y
Config_Shipping_Insure_All_Packages,Y
Config_Shipping_UPS_AccessKey,Y
Config_Shipping_UPS_Classification_Code,Y
Config_Shipping_UPS_ContactEmail,Y
Config_Shipping_UPS_ContactFaxNumber,Y
Config_Shipping_UPS_ContactName,Y
Config_Shipping_UPS_ContactPhoneNumber,Y
Config_Shipping_UPS_ContactTitle,Y
Config_Shipping_UPS_Password,Y
Config_Shipping_UPS_PickupType,Y
Config_Shipping_UPS_Rates_Preferred_Default,Y
Config_Shipping_UPS_ShipperNumber,Y
Config_Shipping_UPS_URL,Y
Config_Shipping_UPS_Username,Y
Config_Shipping_Use_Delivery_Confirmation,Y
Config_Shipping_USPS_Password,Y
Config_Shipping_USPS_ShipperNumber,Y
Config_Shipping_USPS_Username,Y
Config_ShippingRates_AddressType,Y
Config_Show_QuickTourGuide,Y
Config_SiteKey,Y
Config_SmartMatch_AutoCreateChildInventory,Y
Config_SmartMatchPhotoSize2,Y
Config_SmartMatchPhotoSize2_Axis,Y
Config_SmartMatchPhotoSize2T,Y
Config_SmartMatchPhotoSize2T_Axis,Y
Config_SmartMatchPhotoSizeS,Y
Config_SmartMatchPhotoSizeS_Axis,Y
Config_SMTPServer,Y
Config_StoreFolderName,Y
Config_StoreVersion,Y
Config_TemplateName,Y
Config_TemplateSystemVersion,Y
Config_TimeZone,Y
Config_TwitterAccountName,Y
Config_TwitterToken,Y
Config_TwitterTokenSecret,Y
Config_VAT,Y
Config_VCompare_Options,Y
Config_VSMTPKey,Y
Config_WebsiteTitle,Y
Config_WeightUnit,Y
Config_OpenViewLiveInSeparateTab,N
Config_ProductsPageView,N
Config_QuickBooks_Map_ITEM_ACCNT,N
Config_QuickBooks_Map_ITEM_ASSETACCNT,N
Config_QuickBooks_Map_ITEM_COGSACCNT,N
Config_QuickBooks_Map_SPL_ACCNT,N
Config_QuickBooks_Map_SPL_NAME,N
Config_QuickBooks_Map_SPL_Shipping_ACCNT,N
Config_QuickBooks_Map_SPL_Tax_ACCT,N
Config_QuickBooks_Map_SPL_Tax_INVITEM,N
Config_QuickBooks_Map_SPL_Tax_NAME,N
Config_QuickBooks_Order_Date_Beg_Blank_For_All,N
Config_QuickBooks_QBWC_Discount_Account,N
Config_QuickBooks_QBWC_Discount_Item_Name,N
Config_QuickBooks_QBWC_Gift_Cert_Account,N
Config_QuickBooks_QBWC_Gift_Cert_Item_Name,N
Config_QuickBooks_QBWC_Only_Send_Customers_With_Orders,N
Config_QuickBooks_QBWC_Only_Send_Products_Which_Were_Ordered,N
Config_QuickBooks_QBWC_Y_Invoice_N_SalesReceipt,N
Config_Search_Auto_Complete,N
Config_Search_Hints_Days_To_Record,N
Config_Search_Hints_Threshold,N
Config_Server_Root,N
Config_Shipping_UPS_ServiceUrl,N
Config_VCompare_EnableCategories,N
Config_VCompare_EnableSearchResults,N
Config_VCompare_MaxProducts,N
Config_301_Redirect_to_SEOFriendly_URLs,
Config_BreakDown_Taxes,
Config_CRM_Plugin_URL,
Config_DateFormat,
Config_DidYouMean_Enable,
Config_Donations_Suggested_Amounts,
Config_Enable_Allow_Free_Accessory_On_IsProductCode_Option,
Config_Enable_Facebook_Like_Button,
Config_Enable_Facebook_Send_Button,
Config_Enable_Free_Shipping_Qualify_Message,
Config_Enable_Password_Autocomplete,
Config_Enable_Publish_Always_By_Default,
Config_Enable_Search_Refinement,
Config_Enable24HourTime_Without_AMPM,
Config_EnableAccessoriesBelowShoppingCart,
Config_EnableAnonymousReview,
Config_EnableDealOfTheDay,
Config_EnableDiscounts_With_SpecialPricing,
Config_EnableDisplayEstimatedShipping,
Config_EnableDisplayOptionProducts,
Config_EnableFaxNumber,
Config_EnableGiftCertificates,
Config_EnableMaximumOrderQty,
Config_EnableMembersOnlyBrowsing,
Config_EnableMembersOnlyWebsite,
Config_EnableMembersOnlyWebsite_TaxID,
Config_EnableMinimumOrderQty,
Config_EnableOptions_DisplayPopup,
Config_EnableOptions_InventoryControl,
Config_EnableOrderEditing,
Config_EnablePriceEdit,
Config_EnableProtect_Images,
Config_EnableProvidedRates,
Config_EnableRecentHistoryImages,
Config_EnableRegisterPendingStatus,
Config_EnableRegisterPendingStatus_EmailNotifications,
Config_EnableRegistry,
Config_EnableSendEmailOrderShipped,
Config_EnableShoppingCartProductLink,
Config_EnableSocialStore,
Config_EnableSyntaxHighlighting,
Config_EnableWarehouses,
Config_ForceSecureLoginPage,
Config_ForceSecureRegistrationPage,
Config_ForceSecureShoppingCartPage,
Config_GoogleAnalyticsID,
Config_HideGiftCertificateExpiration,
Config_HomePage_EnableSection_FeaturedProducts,
Config_HomePage_EnableSection_NewProducts,
Config_HomePage_EnableSection_SuperDeal,
Config_HomePage_EnableSection_TopSellers,
Config_HomePage_EnableTextTitle,
Config_HomePage_EnableWelcomeText,
Config_HomePage_Force_FeaturedProductsImg,
Config_ImagesFolder,
Config_Mcommerce,
Config_Merchant_Authorizes_Unknown,
Config_NewGraphicDays,
Config_OrderDetail_DefaultNotesTab,
Config_OrganizationType,
Config_POS_EnableReceipt,
Config_RewardPoints_Days_Until_Available,
Config_RewardPoints_Earned_Per_CurrencyUnit,
Config_RewardPoints_Expiration,
Config_RewardPoints_Minimum_Points_To_Redeem,
Config_RewardPoints_Program,
Config_RewardPoints_Redeemed_Per_CurrencyUnit,
Config_SearchRefinement_EnableOnCategoryPage,
Config_SearchRefinement_EnableSearchQtyOnCategoryPage,
Config_SearchRefinement_HideFilter_ByManufacturer,
Config_SearchRefinement_HideFilter_ByPrice,
Config_SearchRefinement_ShowDropdowns,
Config_SearchRefinement_ShowInMasterTemplate,
Config_SearchResults_PartialWordSearch,
Config_SearchResults_ProductDescriptionSearch,
Config_SearchResults_UseTextPaging,
Config_Shipping_UPS_City,
Config_Shipping_UPS_CompanyName,
Config_Shipping_UPS_CompanyURL,
Config_Shipping_UPS_CountryCode,
Config_Shipping_UPS_PostalCode,
Config_Shipping_UPS_State,
Config_Shipping_UPS_Street,
Config_ShippingRates_DisplayOrder,
Config_ShowDealOfTheDayInNavMenu,
Config_ShowDealOfTheDayStockStatus,
Config_SocialStore_Colors_Accent,
Config_SocialStore_Colors_AccentText,
Config_SocialStore_Colors_Background,
Config_SocialStore_Colors_Link,
Config_SocialStore_Colors_Text,
Config_SocialStore_DealOfTheDayMode,
Config_SocialStore_EnableLikePromo,
Config_SocialStore_EnableProductDisplay,
Config_SocialStore_LikePromoBannerModeIsText,
Config_SocialStore_LikePromoBannerText,
Config_SocialStore_LikePromoDiscount,
Config_SocialStore_ProductDefaultSort,
Config_SocialStore_ProductDisplayColumns,
Config_SocialStore_ProductDisplayRows,
Config_StoreTaxRateSet,
Config_Unicode_TitleMetaTags,
